feedback_id,created_at,rating,feedback_text,,
F001,05-11-2025,2,The app keeps crashing every time I try to upload a photo. Super frustrating.,,
F002,18-12-2025,4,Love the new layout! Just wish the search worked better.,,
F003,22-11-2025,1,Took forever to load and then it just froze. Never again.,,
F004,10-01-2026,5,Works great on my phone now. Fast and easy to use.,,
F005,03-12-2025,3,It’s okay I guess. Not sure what I’m supposed to do with all these buttons.,,
F006,14-11-2025,2,Why does it ask for so many permissions? Feels sketchy.,,
F007,25-01-2026,4,Really smooth experience overall. Minor bug when switching tabs though.,,
F008,29-12-2025,1,Logged in and all my stuff was gone. No idea what happened.,,
F009,08-11-2025,5,Exactly what I needed! Simple and gets the job done.,,
F010,02-01-2026,3,Not bad but kinda confusing at first. Took me a while to figure out how to save.,,
F011,11-12-2025,2,Keeps logging me out for no reason. Annoying.,,
F012,19-11-2025,4,Great features! Maybe add dark mode next?,,
F013,17-01-2026,1,Total waste of time. Couldn’t even finish what I started.,,
F014,07-12-2025,5,Super intuitive! My grandma could use this.,,
F015,26-11-2025,3,I don’t know… it’s fine. Nothing special.,,
F016,09-01-2026,2,The notifications are way too loud and I can’t turn them off.,,
F017,22-12-2025,4,Love it! Only thing is the font is a bit small on my screen.,,
F018,03-11-2025,1,App crashed three times in 10 minutes. Uninstalled.,,
F019,28-01-2026,5,Perfect for what I need. No complaints here.,,
F020,15-12-2025,3,Seems alright but I haven’t really used it much yet.,,
F021,12-11-2025,2,Why is there no customer support chat? Had to figure everything out myself.,,
F022,05-01-2026,4,Runs fast and looks clean. Wish there were more customization options.,,
F023,01-12-2025,1,Entered my info and it just disappeared. No confirmation or anything.,,
F024,29-11-2025,5,So easy to use! Even better than the last version.,,
F025,20-01-2026,3,It works but feels kinda outdated compared to other apps.,,
F026,19-12-2025,2,Tried to pay but the payment page wouldn’t load. Gave up.,,
F027,07-11-2025,4,Really happy with it. Only suggestion: add a tutorial for new users.,,
F028,12-01-2026,1,Everything was slow and glitchy. Not worth it.,,
F029,09-12-2025,5,Does exactly what it says. No surprises!,,
F030,24-11-2025,3,Okay I guess. Not sure if I’ll keep using it.,,
F031,27-01-2026,2,Got an error message that didn’t make any sense. Couldn’t proceed.,,
F032,14-12-2025,4,Love the speed! Just fix the typo in the settings menu.,,
F033,01-11-2025,1,Spent 20 minutes trying to sign up and it kept saying “invalid email” for no reason.,,
F034,08-01-2026,5,Smooth sailing from start to finish. Great job!,,
F035,26-12-2025,3,It’s decent but I expected more features for the price.,,
F036,17-11-2025,2,Why does it take so long to sync? Like, come on.,
F037,19-01-2026,4,Very user-friendly! Maybe add a quick help button somewhere.,,
F038,05-12-2025,1,All my data vanished after the update. So mad.,,
F039,30-11-2025,5,Simple and effective. Exactly what I wanted.,,
F040,03-01-2026,3,Not terrible but not amazing either. Middle of the road.,,
F041,20-12-2025,2,Can’t believe I have to watch an ad just to export one file.,,
F042,10-11-2025,4,Works like a charm! Only issue is the occasional lag.,,
F043,22-01-2026,1,Tried to contact support and got no reply. App itself is broken anyway.,,
F044,12-12-2025,5,Super reliable. Haven’t had a single problem.,,
F045,27-11-2025,3,It’s fine. I mean, it does stuff. Not sure what else to say.,
F046,15-01-2026,2,The interface is so cluttered. Hard to find anything.,,
F047,02-12-2025,4,Really impressed! Just needs a few more color options.,,
F048,09-11-2025,1,Didn’t work at all on my tablet. Waste of time.,,
F049,29-01-2026,5,Flawless experience. Would recommend to anyone.,,
F050,23-12-2025,3,Kinda useful but also kinda confusing. Mixed feelings.,,
F051,15-11-2025,2,Why is there no undo button? Lost all my progress by accident.,,
F052,06-01-2026,4,Love how fast it loads! Minor gripe: the icons are too similar.,,
F053,08-12-2025,1,Kept freezing during setup. Couldn’t even get started.,,
F054,21-11-2025,5,Perfectly simple and does what it promises. No fuss.,,
F055,24-01-2026,3,It’s okay. Doesn’t blow me away but gets the job done.,,
F056,17-12-2025,2,Notifications won’t stop even after I turned them off. So annoying.,,
F057,04-11-2025,4,Great app! Only thing missing is offline mode.,,
F058,11-01-2026,1,Entered my password correctly like 5 times and it kept saying it was wrong.,,
F059,28-12-2025,5,Super easy to navigate. Love the clean design.,,
F060,13-11-2025,3,Not sure if it’s working right. Seems slow but maybe it’s just my phone.,,
F061,18-01-2026,2,The calendar feature doesn’t sync with my Google account. Useless.,,
F062,06-12-2025,4,Really solid performance. Just wish the text was bigger.,,
F063,25-11-2025,1,App opened to a blank screen. Couldn’t do anything.,,
F064,01-01-2026,5,Exactly what I’ve been looking for! No issues at all.,,
F065,21-12-2025,3,It’s alright. Could be better but it’s not bad.,,
F066,02-11-2025,2,Why does it need access to my contacts? That’s weird.,,
F067,26-01-2026,4,Works great on both my phone and tablet. Nice job!,,
F068,10-12-2025,1,Spent money on premium and nothing changed. Total scam.,,
F069,18-11-2025,5,So intuitive! Figured everything out in seconds.,,
F070,14-01-2026,3,Does the basics. Not flashy but not broken either.,,
F071,04-12-2025,2,The search function is basically useless. Never finds what I need.,,
F072,23-11-2025,4,Love the new icons! Maybe add a night mode soon?,,
F073,21-01-2026,1,Couldn’t log in after the update. Reset password twice and still nothing.,,
F074,16-12-2025,5,Fast, clean, and reliable. Couldn’t ask for more.
F075,06-11-2025,3,It’s okay. I don’t hate it but I don’t love it either.,,
F076,07-01-2026,2,Kept showing me ads even though I paid for ad-free. Lame.,,
F077,25-12-2025,4,Really smooth experience. Only complaint is the lack of export options.,,
F078,11-11-2025,1,App crashed when I tried to open a file. Lost everything.,,
F079,30-01-2026,5,Perfect for daily use. No bugs or glitches so far.,,
F080,13-12-2025,3,Seems functional but the design feels old-fashioned.,,
F081,16-11-2025,2,Why is there no way to delete my account? Had to email support.,,
F082,16-01-2026,4,Great job on the recent update! Just fix the typo in the help section.,,
F083,2025-12-00,1,Date invalid—should be within last 3 months.,,
F084,28-11-2025,5,Simple and effective. Does exactly what I need without extra junk.,,
F085,23-01-2026,3,It’s fine. Not sure why I’d pay for premium though.,,
F086,24-12-2025,2,The reminder feature never actually reminds me. What’s the point?,,
F087,2025-11-00,1,Date invalid—should be within last 3 months.,,
F088,04-01-2026,4,Love the simplicity! Maybe add a few more templates.,,
F089,2025-12-00,1,Date invalid—should be within last 3 months.,,
F090,20-11-2025,5,Works flawlessly. Haven’t had a single issue since I downloaded it.,,
F091,13-01-2026,3,It’s okay I guess. Doesn’t do much but it doesn’t break either.,,
F092,19-12-2025,2,The auto-save feature doesn’t work. Lost my notes twice.,,
F093,07-11-2025,4,Really nice interface! Just needs a dark theme option.,,
F094,27-01-2026,1,Tried to use it for work and it completely failed. Embarrassing.,,
F095,08-12-2025,5,Super reliable and fast. Exactly what I needed.,,
F096,25-11-2025,3,Not bad. Kinda basic but gets the job done.,,
F097,02-01-2026,2,Why does it take so long to load images? My internet is fine.,,
F098,22-12-2025,4,Love the new features! Only thing is the battery drain is noticeable.,,
F099,14-11-2025,1,App wouldn’t install properly. Kept failing at 90%.,,
F100,29-01-2026,5,Perfect! No complaints at all. Keep up the good work.,,
F101,01-12-2025,3,It’s alright. I mean, it works. Not much else to say.,
F102,19-11-2025,2,The map feature is totally inaccurate. Showed me in the wrong city.,,
F103,10-01-2026,4,Great performance! Just wish there were more language options.,,
F104,15-12-2025,1,Entered my credit card and it charged me twice. Still waiting for refund.,,
F105,03-11-2025,5,So easy to use! Even my kids figured it out.,,
F106,20-01-2026,3,Does what it says. Not exciting but not broken.,,
F107,07-12-2025,2,The voice input never understands what I’m saying. Pointless.,,
F108,26-11-2025,4,Really smooth! Only suggestion: add a favorites section.,,
F109,05-01-2026,1,App froze during checkout. Lost my order and had to start over.,,
F110,27-12-2025,5,Flawless! Haven’t had a single problem since day one.,,
F111,12-11-2025,3,It’s okay. I don’t use it much but it seems fine.,,
F112,17-01-2026,2,Why is there no way to edit past entries? Makes it useless for me.,,
F113,04-12-2025,4,Love the clean look! Maybe add a few more fonts.,,
F114,29-11-2025,1,Kept getting logged out randomly. Couldn’t finish my task.,,
F115,28-01-2026,5,Exactly what I needed! Simple and efficient.,,
F116,18-12-2025,3,Not bad. Could be faster but it’s usable.,,
F117,08-11-2025,2,The barcode scanner doesn’t work in low light. Useless.,,
F118,09-01-2026,4,Great app! Only thing missing is cloud backup.,,
F119,11-12-2025,1,Spent an hour trying to figure out how to export. Gave up.,,
F120,22-11-2025,5,Super intuitive and fast. No issues at all.,,
F121,25-01-2026,3,It’s fine. Doesn’t wow me but it doesn’t annoy me either.,,
F122,02-12-2025,2,The timer resets every time I switch apps. Makes no sense.,,
F123,15-11-2025,4,Love it! Just needs a few more customization options.,,
F124,12-01-2026,1,App crashed every time I tried to open settings. Uninstalled.,,
F125,29-12-2025,5,Perfect for my needs. Simple and reliable.,,
F126,01-11-2025,3,Okay I guess. Not sure what all the hype is about.,,
F127,03-01-2026,2,Why does it need location access just to set a reminder? Weird.,,
F128,20-12-2025,4,Really smooth experience! Only complaint is the small text.,,
F129,10-11-2025,1,All my data disappeared after the latest update. So frustrated.,,
F130,21-01-2026,5,Does exactly what it says. No bugs, no fuss.,
F131,06-12-2025,3,It’s alright. Not the best but not the worst either.,,
F132,27-11-2025,2,The share button doesn’t work. Tried multiple times.,,
F133,14-01-2026,4,Great job! Maybe add a tutorial for first-time users.,,
F134,13-12-2025,1,Couldn’t even create an account. Kept saying “server error.”,,
F135,05-11-2025,5,Super easy to use! Love the new design.,,
F136,26-01-2026,3,Does the basics. Not fancy but it works.,,
F137,24-12-2025,2,The dark mode is too dark. Can’t read anything.,,
F138,18-11-2025,4,Really fast and responsive! Just needs more icon options.,,
F139,07-01-2026,1,App froze during onboarding. Couldn’t get past the welcome screen.,,
F140,09-12-2025,5,Perfect! No complaints whatsoever.,,
F141,23-11-2025,3,It’s okay. I mean, it functions. Not much else to say.,
F142,19-01-2026,2,Why is there no way to sort my list? Makes it hard to use.,,
F143,2025-12-00,1,Date invalid—should be within last 3 months.,,
F144,09-11-2025,4,Love the simplicity! Maybe add a few more themes.,,
F145,30-01-2026,5,Flawless experience from start to finish. Highly recommend.,,
F146,17-12-2025,3,Not bad. Could be better but it’s not broken.,,
F147,04-11-2025,2,The notification sound is super annoying and can’t be changed.,,
F148,01-01-2026,4,Great app! Only thing missing is offline access.,,
F149,26-12-2025,1,Spent money on premium and nothing unlocked. Scam.,,
F150,21-11-2025,5,Super intuitive and fast. Exactly what I needed.,,
F151,11-01-2026,3,It’s fine. Doesn’t excite me but it works.,,
F152,05-12-2025,2,The search bar is tiny and hard to tap on my phone.,,
F153,16-11-2025,4,Really smooth! Just needs a few more color schemes.,,
F154,22-01-2026,1,App crashed when I tried to attach a file. Lost everything.,,
F155,14-12-2025,5,Perfect for daily use. No issues at all.,,
F156,02-11-2025,3,Okay I guess. Not sure if I’ll keep using it.,,
F157,15-01-2026,2,Why does it need access to my photos just to save a note? Sketchy.,,
F158,23-12-2025,4,Love the new layout! Only gripe is the small font size.,,
F159,13-11-2025,1,Couldn’t log in after password reset. Support never replied.,,
F160,28-01-2026,5,Exactly what I’ve been looking for! Simple and effective.,,
F161,03-12-2025,3,It’s alright. Does the job but nothing special.,,
F162,28-11-2025,2,The auto-correct changes everything to nonsense. Drives me crazy.,,
F163,06-01-2026,4,Great performance! Maybe add a dark mode soon.,,
F164,12-12-2025,1,App opened to a white screen and stayed there. Useless.,,
F165,07-11-2025,5,Super easy to navigate. Love the clean design.,,
F166,18-01-2026,3,Not bad. Could be faster but it’s usable.,,
F167,01-12-2025,2,The reminder went off 3 hours late. Completely missed my appointment.,,
